Mico rondoni;Macaquinho-branco, Mico-de-Rondônia, Rondônia Marmoset, Rondon’s Marmoset, Sagui-branco;Vulnerável (VU);Rondônia;Amazônia
Micranurida fluminensis;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Micrathyria borgmeieri;Libélula;Vulnerável (VU);Bahia, Espírito Santo, Paraná, Rio de Janeiro, São Paulo;Mata Atlântica
Micrathyria divergens;Libélula;Vulnerável (VU);Maranhão, Minas Gerais;Cerrado, Mata Atlântica
Microakodontomys transitorius;Rato-do-mato, Transitional Colilargo;Em Perigo (EN);Distrito Federal;Cerrado
Microcambeva draco;;Em Perigo (EN);Bahia;Mata Atlântica
Microcambeva triguttata;;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Microglanis maculatus;;Criticamente em Perigo (CR);Goiás;Cerrado
Microglanis robustus;;Criticamente em Perigo (CR);Pará, Tocantins;Amazônia
Microlepidogaster perforata;Cascudinho;Criticamente em Perigo (CR);Minas Gerais;Mata Atlântica
Microspathodon chrysurus;Donzela-Azul;Vulnerável (VU);Alagoas, Bahia, Ceará, Espírito Santo, Maranhão, Paraíba, Pernambuco, Rio de Janeiro, Rio Grande do Norte;Sistema Costeiro-Marinho
Millepora laboreli;;Vulnerável (VU);Maranhão;Sistema Costeiro-Marinho
Mimagoniates lateralis;Lambari-azul-listrado;Vulnerável (VU);Paraná, Santa Catarina, São Paulo;Mata Atlântica, Sistema Costeiro-Marinho
Mimagoniates sylvicola;Piaba;Em Perigo (EN);Bahia, Espírito Santo;Mata Atlântica, Sistema Costeiro-Marinho
Mobula birostris;boca-de-gaveta, mão-de-tranca, raia-jamanta, raia-manta;Vulnerável (VU);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Mobula mobular;raia-jamanta, raia-manta;Vulnerável (VU);Bahia, Pernambuco, Rio de Janeiro, São Paulo;Sistema Costeiro-Marinho
Mobula tarapacana;jamanta, raia-manta;Vulnerável (VU);Bahia, Pernambuco, São Paulo;Sistema Costeiro-Marinho
Mobula thurstoni;raia-jamanta, raia-manta;Vulnerável (VU);Ceará, Pernambuco, São Paulo;Sistema Costeiro-Marinho
Moema piriana;annual killifish, Pece anual, Peixe anual;Criticamente em Perigo (CR) (PE);Pará;Amazônia
Momotus momota marcgravianus;udu-de-coroa-azul-do-nordeste;Em Perigo (EN);Alagoas, Paraíba, Pernambuco, Rio Grande do Norte;Caatinga, Mata Atlântica
Monasa morphoeus morphoeus;chora-chuva-de-cara-branca;Em Perigo (EN);Bahia, Espírito Santo, Rio de Janeiro;Mata Atlântica
Monomorium delabiei;formiga, Formiga;Vulnerável (VU);Bahia;Mata Atlântica
Morphnus guianensis;Águila Crestada, Águila monera, Crested Eagle, gavião-real-falso, uiraçu, uiraçu-falso;Vulnerável (VU);Acre, Amapá, Amazonas, Bahia, Espírito Santo, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraná, Rio de Janeiro, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, São Paulo, Tocantins;Amazônia, Cerrado, Mata Atlântica
Morpho epistrophus nikolajewna;Borboleta;Criticamente em Perigo (CR);Alagoas, Paraíba, Pernambuco;Mata Atlântica
Morpho menelaus eberti;azulão, Azul-seda, Borboleta, borboleta-azul;Criticamente em Perigo (CR);Alagoas, Bahia, Espírito Santo, Paraíba, Pernambuco;Mata Atlântica
Moschoneura pinthous methymna;Borboleta;Vulnerável (VU);Bahia, Espírito Santo, Minas Gerais, Rio de Janeiro;Mata Atlântica
Mussismilia braziliensis;Coral-cérebro, Coral-cérebro-da-Bahia;Vulnerável (VU);Bahia, Espírito Santo;Sistema Costeiro-Marinho
Mussismilia harttii;Coral couve-flor, Coral-vela;Em Perigo (EN);Alagoas, Bahia, Ceará, Espírito Santo, Paraíba, Pernambuco, Rio Grande do Norte;Sistema Costeiro-Marinho
Mustelus canis;bico-doce, boca-de-velha, bodinho, cola-fina;Em Perigo (EN);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Mustelus fasciatus;cação-listrado, cação-malhado;Criticamente em Perigo (CR);;Sistema Costeiro-Marinho
Mustelus schmitti;boca-de-velha, cação-bico-doce, cação-sebastião, canejo, cola-fina, tubarão-bico-doce-pintado;Criticamente em Perigo (CR);Santa Catarina;Sistema Costeiro-Marinho
Mycetagroicus urbanus;Formiga, Formiga cultivadora de fungo;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Mycetomoellerius atlanticus;formiga, Formiga;Vulnerável (VU);Bahia, Espírito Santo, Rio de Janeiro;Mata Atlântica, Sistema Costeiro-Marinho
Mycetophylax simplex;formiga, Formiga;Vulnerável (VU);Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo;Mata Atlântica, Pampa, Sistema Costeiro-Marinho
Mycetopoda legumen;Faquinha-arredondada, Marisco-de-água-doce;Em Perigo (EN);Rio Grande do Sul;Mata Atlântica, Pampa
Mycteroperca bonaci;badejo, badejo-quadrado, sirigado;Vulnerável (VU);Alagoas, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Mycteroperca interstitialis;badejo, badejo-amarelo, mané-negro;Vulnerável (VU);Alagoas, Bahia, Ceará, Espírito Santo, Paraíba, Paraná, Pernambuco, Rio de Janeiro, Rio Grande do Norte, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Mylesinus paucisquamatus;curupeté, Pacu, pacu borracha, pacu-couro-seco, pacu de cachoeira, pacu-dente-seco;Em Perigo (EN);Goiás, Maranhão, Mato Grosso, Pará, Tocantins;Amazônia, Cerrado
Myliobatis freminvillei;raia-amarela, raia-manteiga, raia-sapo;Em Perigo (EN);Rio de Janeiro, Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Myliobatis goodei;raia-amarela, raia-manteiga, raia-sapo;Criticamente em Perigo (CR);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Myliobatis ridens;emplastro-amarelo, raia-amarela, raia-manteiga, raia-sapo;Criticamente em Perigo (CR);Rio Grande do Sul;Sistema Costeiro-Marinho
Myloplus tiete;Pacu-prata;Em Perigo (EN);Goiás, Mato Grosso do Sul, Minas Gerais, Paraná, São Paulo;Cerrado, Mata Atlântica
Myrmecophaga tridactyla;Ant bear, Bandeira, Bandurra, Giant anteater, Grand fourmilier, Jurumi, Jurumim, Oso hormiguero, Papa-formigas, Tamanduá-açú, Tamanduá-bandeira, Tamanoir;Vulnerável (VU);Acre, Amapá, Amazonas, Bahia, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraná, Piauí, Rio de Janeiro, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, São Paulo, Tocantins;Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal
Myrmoderus ruficauda;formigueiro-de-cauda-ruiva, Hormiguero festoneado, Scalloped Antbird;Em Perigo (EN);Alagoas, Bahia, Espírito Santo, Minas Gerais, Paraíba, Pernambuco;Caatinga, Mata Atlântica
Myrmotherula fluminensis;choquinha-fluminense, Hormiguerito Carioca, Rio de Janeiro Antwren;Criticamente em Perigo (CR) (PE);Rio de Janeiro;Mata Atlântica
Myrmotherula minor;choquinha-pequena, Hormiguerito de Salvadori, Salvadori's Antwren;Vulnerável (VU);Bahia, Espírito Santo, Minas Gerais, Rio de Janeiro, São Paulo;Mata Atlântica
Myrmotherula oreni;Bamboo Antwren, choquinha-do-bambu;Vulnerável (VU);Acre;Amazônia
Myrmotherula snowi;Alagoas Antwren, choquinha-de-alagoas, Hormiguerito de Alagoas;Criticamente em Perigo (CR);Alagoas, Pernambuco;Mata Atlântica
Myrmotherula urosticta;Band-tailed Antwren, choquinha-de-rabo-cintado, Hormiguerito atlántico;Vulnerável (VU);Bahia, Espírito Santo, Rio de Janeiro;Mata Atlântica
Napeogenes rhezia rhezia;Borboleta;Criticamente em Perigo (CR);Bahia;Mata Atlântica
Narcine brasiliensis;raia-elétrica, treme-treme;Vulnerável (VU);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Natalus macrourus;morcego;Vulnerável (VU);Bahia, Ceará, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraíba, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rondônia, São Paulo, Sergipe, Tocantins;Amazônia, Caatinga, Cerrado, Mata Atlântica, Sistema Costeiro-Marinho
Nathaliagrion porrectum;Libélula;Em Perigo (EN);Espírito Santo;Mata Atlântica
Negaprion brevirostris;cação-limão, tubarão-limão;Em Perigo (EN);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Pernambuco, Piauí, Rio de Janeiro, São Paulo, Sergipe;Sistema Costeiro-Marinho
Nematolebias catimbau;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Nematolebias papilliferus;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Nematolebias whitei;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Nemosia rourei;Cherry-throated Tanager, saíra-apunhalada, Tangara golirroja;Criticamente em Perigo (CR);Espírito Santo, Rio de Janeiro;Mata Atlântica
Neomorphus geoffroyi;Cuco hormiguero ventrirrufo, jacu-estalo, Rufous-vented Ground-cuckoo;Vulnerável (VU);Acre, Amazonas, Bahia, Espírito Santo, Maranhão, Minas Gerais, Pará, Rio de Janeiro, Rondônia, Tocantins;Amazônia, Caatinga, Cerrado, Mata Atlântica
Neomorphus geoffroyi amazonicus;jacu-estalo;Vulnerável (VU);Acre, Amazonas, Maranhão, Pará, Rondônia, Tocantins;Amazônia, Cerrado
Neomorphus geoffroyi dulcis;jacu-estalo;Em Perigo (EN);Espírito Santo, Minas Gerais, Rio de Janeiro;Mata Atlântica
Neomorphus geoffroyi geoffroyi;jacu-estalo;Criticamente em Perigo (CR) (PE);Bahia;Caatinga
Neomorphus squamiger;jacu-estalo-escamoso, Scaled Ground-Cuckoo;Vulnerável (VU);Mato Grosso, Pará;Amazônia
Neonella noronha;Aranha, Aranha-papa-mosca, aranha-saltadora;Vulnerável (VU);Pernambuco;Mata Atlântica
Neopelma aurifrons;fruxu-baiano, Saltarín de Wied, Wied's Tyrant-manakin;Em Perigo (EN);Bahia, Espírito Santo, Minas Gerais, Rio de Janeiro;Cerrado, Mata Atlântica
Neoplecostomus botucatu;Cascudo;Vulnerável (VU);São Paulo;Cerrado
Newportia potiguar;Centopeia, Lacraia;Vulnerável (VU);Rio Grande do Norte;Caatinga
Newportia spelaea;Centopeia, Lacraia;Criticamente em Perigo (CR);Bahia;Caatinga
Noronhomys vespuccii;Rato-de-Noronha, Vespucci’s Rodent;Extinta (EX);Pernambuco;Desconhecido
Notholebias cruzi;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Notholebias fractifasciatus;Peixe anual, Peixes das nuvens;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Notholebias minimus;Peixe anual, Peixe das nuvens;Em Perigo (EN);Rio de Janeiro;Mata Atlântica
Notholebias vermiculatus;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Nothura minor;codorna-mineira, Lesser Nothura, Perdiz menor;Em Perigo (EN);Distrito Federal, Goiás, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Paraná, São Paulo;Cerrado
Notorynchus cepedianus;cação-bruxa, tubarão-de-sete-fendas-pintado;Criticamente em Perigo (CR);Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Numenius borealis;Eskimo Curlew, maçarico-esquimó, Zarapito Esquimal;Regionalmente Extinta (RE);Amazonas, Mato Grosso, São Paulo;Amazônia, Mata Atlântica, Pantanal
Numenius hudsonicus;American Whimbrel, maçarico-de-bico-torto;Vulnerável (VU);Alagoas, Amapá, Amazonas, Bahia, Ceará, Espírito Santo, Maranhão, Mato Grosso do Sul, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal, Sistema Costeiro-Marinho
Nyceryx mielkei;Esfingídeo, Mariposa, Mariposa-esfinge;Criticamente em Perigo (CR);Maranhão, Tocantins;Cerrado
Nyctibius aethereus aethereus;Large-tailed Potoo, mãe-da-lua-parda;Em Perigo (EN);Bahia, Espírito Santo, Minas Gerais, Paraná, Rio de Janeiro;Mata Atlântica, Sistema Costeiro-Marinho
Nyctibius leucopterus;Nictibio aliblanco, urutau-de-asa-branca, White-winged Potoo;Criticamente em Perigo (CR);Amapá, Amazonas, Bahia, Espírito Santo, Maranhão, Mato Grosso, Pará, Roraima;Amazônia, Mata Atlântica
Nyctimantis pomba;Painted tree frog, Perereca, Perereca-de-capacete, Perereca-pintada;Criticamente em Perigo (CR);Minas Gerais;Mata Atlântica
Nyctiprogne vielliardi;Añapero de Bahía, bacurau-do-são-francisco, Bahian Nighthawk;Em Perigo (EN);Bahia, Minas Gerais;Caatinga, Cerrado
Ochyrocera ibitipoca;Aranha;Em Perigo (EN);Minas Gerais;Mata Atlântica
Odontesthes bicudo;Peixe-rei;Em Perigo (EN);Rio Grande do Sul;Pampa
Odontopeltis giganteus;Piolho-de-cobra;Vulnerável (VU);Espírito Santo;
Odontophorus capueira plumbeicollis;uru;Criticamente em Perigo (CR);Alagoas, Ceará, Paraíba;Caatinga, Mata Atlântica
Odontostomus dautzenbergianus;;Vulnerável (VU);Paraná, São Paulo;Mata Atlântica
Oligoryzomys rupestris;Rato-da-árvore, Rocky outcrop colilargo;Em Perigo (EN);Bahia, Goiás, Minas Gerais;Caatinga, Cerrado
Oncinocampa trajanoae;;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Onychorhynchus swainsoni;Atlantic Royal Flycatcher, maria-leque-do-sudeste;Vulnerável (VU);Minas Gerais, Paraná, Rio de Janeiro, Santa Catarina, São Paulo;Mata Atlântica
Ophidion holbrookii;Band cusk eel, Brotule de banc, Congrinho, Congriperla de bajos, Falso-congro-rosa, Sete-voltas;Criticamente em Perigo (CR);Espírito Santo, Rio de Janeiro, São Paulo;Sistema Costeiro-Marinho
Ophthalmolebias bokermanni;Peixe anual, Peixes das Nuvens;Criticamente em Perigo (CR);Bahia;Mata Atlântica
Ophthalmolebias constanciae;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Ophthalmolebias ilheusensis;Peixe anual, Peixe das nuvens;Em Perigo (EN);Bahia;Mata Atlântica
Ophthalmolebias perpendicularis;Peixe anual;Criticamente em Perigo (CR);Bahia;Mata Atlântica
Ophthalmolebias rosaceus;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Bahia;Mata Atlântica
Ophthalmolebias suzarti;Peixe anual, Peixe das nuvens;Vulnerável (VU);Bahia;Mata Atlântica
Oreaster reticulatus;estrela-do-mar;Vulnerável (VU);Pernambuco, Rio de Janeiro, São Paulo;Sistema Costeiro-Marinho
Orobrassolis ornamentalis;Borboleta;Criticamente em Perigo (CR);Minas Gerais, São Paulo;Mata Atlântica
Ortalis remota;aracuã, aracuan, Chachalaca Moteada, Speckled Chachalaca;Criticamente em Perigo (CR);Mato Grosso do Sul, São Paulo;Cerrado, Mata Atlântica
Ossubtus xinguense;Pacu-capivara;Vulnerável (VU);Pará;Amazônia
Otophidium chickcharney;congro-dorminhoco;Criticamente em Perigo (CR) (PE);;Sistema Costeiro-Marinho
Otothyris juquiae;Cascudinho-anão;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Oxynetra roscius iphimedia;Borboleta, diabinha;Vulnerável (VU);Minas Gerais, Rio de Janeiro, São Paulo;Mata Atlântica
Oxyruncus cristatus tocantinsi;araponga-do-horto, Sharpbill;Vulnerável (VU);Pará;Amazônia
Ozotoceros bezoarticus bezoarticus;"Cerf des pampas; Goazu, Ciervo de las pampas; Ciervo pampero; Venado campero; Venado de campo; Venado de las pampas, Pampas deer, Veado-campeiro; Veado-branco; Veado-galheiro";Vulnerável (VU);Bahia, Distrito Federal, Goiás, Mato Grosso do Sul, Minas Gerais, Tocantins;Amazônia, Caatinga, Cerrado, Pampa
Pachylospeleus strinatii;Aranha-bode, Aranha-fedorenta, Opilião;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Pampasatyrus glaucope boenninghauseni;Borboleta;Em Perigo (EN);Minas Gerais, Rio de Janeiro, São Paulo;Mata Atlântica
Pampasatyrus glaucope eberti;Borboleta;Vulnerável (VU);São Paulo;Mata Atlântica
Pampasatyrus glaucope glaucope;Borboleta;Em Perigo (EN);Paraná, Santa Catarina;Mata Atlântica
Pampasatyrus gyrtone;Borboleta;Em Perigo (EN);Minas Gerais, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo;Mata Atlântica
Pampasatyrus reticulata gagarini;Borboleta;Em Perigo (EN);Rio de Janeiro, São Paulo;Mata Atlântica
Panara ovifera;Borboleta;Vulnerável (VU);Rio de Janeiro;Mata Atlântica
Panthera onca;Canguçu, Jaguar, Jaguaretê, Onça-pintada, Onça-preta, Otorongo, Tigre, Yaguaretê;Vulnerável (VU);Acre, Amapá, Amazonas, Bahia, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraná, Piauí, Rio de Janeiro, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, São Paulo, Tocantins;Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal
Paracerura gandarela;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Vulnerável (VU);Minas Gerais;Mata Atlântica
Paraclaravis geoffroyi;pararu-espelho, Purple-winged Ground Dove, Tortolita alipúrpura;Criticamente em Perigo (CR) (PE);Bahia, Espírito Santo, Minas Gerais, Paraná, Rio de Janeiro, Santa Catarina, São Paulo;Mata Atlântica
Paragenidens grandoculis;;Criticamente em Perigo (CR);Espírito Santo, Rio de Janeiro;Mata Atlântica
Parancistrus nudiventris;;Em Perigo (EN);Pará;Amazônia
Parapoynx restingalis;Mariposa;Vulnerável (VU);Bahia, Espírito Santo, Rio de Janeiro;Mata Atlântica, Sistema Costeiro-Marinho
Pararrhopalites papaveroi;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Em Perigo (EN);Mato Grosso do Sul;Cerrado
Pararrhopalites sideroicus;Colêmbolo, Pulga-de-Jardim, Snowflea, Springtail;Criticamente em Perigo (CR);Minas Gerais;Mata Atlântica
Pararrhopalites ubiquum;Colêmbolo, Pulga-de-Jadrim;Vulnerável (VU);Minas Gerais;Mata Atlântica
Pararrhopalites wallacei;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Paratelmatobius lutzii;Lutz's Rapids Frog, Rãzinha-de-barriga-colorida;Criticamente em Perigo (CR) (PE);Minas Gerais, Rio de Janeiro;Mata Atlântica
Paratrygon aiereba;aramaçá, aramassu, arraia-aramaçá, arraia-maçã, arumaçá, manzana, maramaçá, nari-nari, raia-branca;Criticamente em Perigo (CR);Amazonas;Amazônia
Pareiorhaphis nasuta;;Criticamente em Perigo (CR);Minas Gerais;Cerrado, Mata Atlântica
Pareiorhaphis scutula;;Em Perigo (EN);Minas Gerais;Mata Atlântica
Parelbella machaon seabrai;Borboleta, diabinha;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Parelbella polyzona;Borboleta, Diabinha;Em Perigo (EN);Espírito Santo, Rio de Janeiro, Santa Catarina, São Paulo;Mata Atlântica
Parides ascanius;Borboleta-da-praia, borboleta-da-restinga, Fluminense swallowtail;Em Perigo (EN);Espírito Santo, Rio de Janeiro;Mata Atlântica
Parides bunichus chamissonia;Borboleta, rabo-de-andorinha;Criticamente em Perigo (CR);Santa Catarina;Mata Atlântica
Parides burchellanus;borboleta-ribeirinha, Maria-boba;Criticamente em Perigo (CR);Distrito Federal, Goiás, Minas Gerais;Cerrado, Mata Atlântica
Parides klagesi;Borboleta, rabo-de-andorinha;Criticamente em Perigo (CR);Pará;Amazônia
Parides panthonus castilhoi;Borboleta;Criticamente em Perigo (CR);Mato Grosso do Sul, Paraná, São Paulo;Mata Atlântica
Parides tros danunciae;Borboleta;Em Perigo (EN);Paraná, Santa Catarina;Mata Atlântica
Parotocinclus spilurus;Cascudinho;Em Perigo (EN);Ceará;Caatinga
Partamona littoralis;Abelha, abelha-sem-ferrão;Em Perigo (EN);Paraíba, Rio Grande do Norte;Mata Atlântica
Pauxi mitu;Alagoas Curassow, mutum-do-nordeste, Paují de Alagoas;Extinta na Natureza (EW);Alagoas;Mata Atlântica
Pedaridium hirsutum;Besouro, besouro-rola-bosta;Vulnerável (VU);Minas Gerais, Paraná, Rio de Janeiro, Santa Catarina, São Paulo;Mata Atlântica
Penelope jacucaca;jacucaca, Pava Yacucaca, White-browed Guan;Vulnerável (VU);Alagoas, Bahia, Ceará, Maranhão, Minas Gerais, Paraíba, Pernambuco, Piauí, Rio Grande do Norte, Sergipe;Caatinga, Cerrado, Mata Atlântica
Penelope pileata;jacupiranga, Pava Crestiblanca, White-crested Guan;Vulnerável (VU);Amazonas, Maranhão, Pará;Amazônia
Penelope superciliaris alagoensis;jacu-de-alagoas, jacupemba;Criticamente em Perigo (CR);Alagoas, Paraíba, Pernambuco, Rio Grande do Norte;Caatinga, Mata Atlântica
Peridontodesmella alba;Piolho-de-cobra;Vulnerável (VU);Paraná, São Paulo;Mata Atlântica
Perrhybris pamela flava;Borboleta;Em Perigo (EN);Espírito Santo;Mata Atlântica
Petaloconchus myrakeenae;;Vulnerável (VU);Rio de Janeiro;Sistema Costeiro-Marinho
Petrocerus catiena;Borboleta, Borboleta formigueira;Em Perigo (EN);Espírito Santo, Rio de Janeiro;Mata Atlântica
Phaethon aethereus;grazina, Rabijunco Etéreo, rabo-de-junco, rabo-de-palha-de-bico-vermelho, Red-billed Tropicbird;Em Perigo (EN);Bahia, Maranhão, Pernambuco, Sergipe;Cerrado, Mata Atlântica, Sistema Costeiro-Marinho
Phaethon lepturus;Rabijunco Menor, rabo-de-palha-de-bico-laranja, White-tailed Tropicbird;Em Perigo (EN);Bahia, Pernambuco;Mata Atlântica, Sistema Costeiro-Marinho
Phaethornis aethopygus;Ermitaño de Tapajoz, rabo-branco-do-tapajós, Tapajos Hermit;Vulnerável (VU);Mato Grosso, Pará;Amazônia
Phaethornis major;rabo-branco-de-bico-reto;Vulnerável (VU);Mato Grosso, Pará;Amazônia
Phaethornis margarettae;Margaretta's Hermit, rabo-branco-de-margarette;Em Perigo (EN);Alagoas, Bahia, Espírito Santo, Pernambuco;Mata Atlântica
Phalloptychus eigenmanni;Barrigudinho, Bobó, Pari-vivo;Criticamente em Perigo (CR);Bahia;Mata Atlântica
Phallotorynus fasciolatus;Barrigudinho;Criticamente em Perigo (CR) (PE);São Paulo;
Phalotris multipunctatus;Fura-terra-pintada;Em Perigo (EN);Mato Grosso do Sul, São Paulo;Cerrado
Philodryas livida;Corre-Campo, Parelheira-do-Campo;Vulnerável (VU);Goiás, Mato Grosso do Sul, São Paulo;Cerrado, Pantanal
Philydor novaesi;Alagoas Foliage-gleaner, limpa-folha-do-nordeste, Ticotico de Alagoas;Extinta (EX);Alagoas, Pernambuco;Mata Atlântica
Phlegopsis borbae;Hormiguero de Skutch, mãe-de-taoca-dourada, Pale-faced Antbird;Vulnerável (VU);Amazonas, Mato Grosso, Pará, Rondônia;Amazônia
Phlegopsis nigromaculata confinis;mãe-de-taoca;Vulnerável (VU);Pará, Tocantins;Amazônia
Phlegopsis nigromaculata paraensis;mãe-de-taoca;Vulnerável (VU);Maranhão, Pará;Amazônia
Phrynomedusa fimbriata;Perereca-verde-de-fímbria, Perereca-verde-de-riacho-de-Paranapiacaba, Spiny-knee Leaf Frog;Extinta (EX);São Paulo;Mata Atlântica
Phrynomedusa marginata;Bi-colored Leaf Frog, Perereca-das-folhagens, Pererequinha-macaco;Criticamente em Perigo (CR) (PE);Espírito Santo;Mata Atlântica
Phrynomedusa vanzolinii;Vanzolini's Leaf Frog;Criticamente em Perigo (CR) (PE);Rio de Janeiro, São Paulo;Mata Atlântica
Phyllocaulis renschi;Lesma;Criticamente em Perigo (CR);Rio Grande do Sul;Mata Atlântica, Pampa
Phyllocycla bartica;Libélula;Vulnerável (VU);Pará;Amazônia
Phyllomyias reiseri;Mosquerito de Reiser, piolhinho-do-grotão, Reiser's Tyrannulet;Em Perigo (EN);Bahia, Distrito Federal, Goiás, Mato Grosso do Sul, Minas Gerais, Piauí, Tocantins;Caatinga, Cerrado, Mata Atlântica, Pantanal
Phyllomys brasiliensis;Orange-brown Atlantic tree-rat, Rato-da-árvore;Em Perigo (EN);Minas Gerais;Cerrado
Phyllomys lundi;Lund’s Atlantic tree-rat, Rato-da-árvore;Em Perigo (EN);Minas Gerais, Rio de Janeiro;Mata Atlântica
Phyllomys thomasi;Cururuá, Giant Atlantic Forest Tree Rat, Giant Atlantic Tree-rat, Rato-da-árvore;Em Perigo (EN);São Paulo;Mata Atlântica
Phyllomys unicolor;Rato-da-árvore, Short-furred Atlantic tree-rat, Unicolored Tree Rat;Criticamente em Perigo (CR);Bahia;Mata Atlântica
Phylloscartes beckeri;Bahia Tyrannulet, borboletinha-baiana, Orejerito de Bahía;Em Perigo (EN);Bahia, Minas Gerais;Caatinga, Mata Atlântica
Phylloscartes ceciliae;Alagoas Tyrannulet, cara-pintada, Orejerito de Alagoas;Criticamente em Perigo (CR);Alagoas, Pernambuco;Caatinga, Mata Atlântica
Phylloscartes roquettei;cara-dourada, Minas Gerais Tyrannulet, Orejerito de Minas Gerais;Em Perigo (EN);Bahia, Distrito Federal, Goiás, Minas Gerais;Caatinga, Cerrado, Mata Atlântica
Physalaemus soaresi;Floninha, Rãzinha, Rãzinha-de-folhiço, Santa Cruz Dwarf Frog;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Physeter macrocephalus;Ballena Esperma, Cachalot, Cachalote, Pot Whale, Spermacet Whale, Sperm Whale;Vulnerável (VU);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Piculus paraensis;Belem Woodpecker, pica-pau-dourado-de-belém;Vulnerável (VU);Maranhão, Pará, Tocantins;Amazônia, Cerrado
